Implementing agency,Sourcing Agency,Local partner agency,Agency / Local contact name,Agency / Local contact email,Agency / Local contact phone #,District,VDC / Municipalities,Municipal Ward,Action type,Action description,Targeting,# Items / # Man-hours / NPR,Total Number Households,Average cost per households (NPR),Female headed households,Vulnerable Caste / Ethnicity households ,Activity Status,Start date,Completion Date,Additional Comments,Last Update,Priority,Hard to Reach Access Methods,Shelter Cluster Hub,District HLCIT Code,VDC / Municipality HLCIT Code,UID,UNOCHA Activity Categories
Plan International,DEC,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Suspa Kshyamawati,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,3735000,249,15000,27,206,Completed,20/07/2015,09/01/2015,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 033,"Plan InternationalDolakhaSuspa KshyamawatiAllCashCash for Shelter (15,000 NPR)3735000249",
Plan International,DFID,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Suspa Kshyamawati,All,Cash,Other Cash,Targeted group,8625000,375,23000,,,Planned (funded),,,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 033,Plan InternationalDolakhaSuspa KshyamawatiAllCashOther Cash8625000375,
Plan International,ECHO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Lapilang,All,Shelter,CGI Bundle (72ft/bundle),Targeted group,498,249,22000,110,147,Completed,17/06/2015,17/06/2015,,11/09/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 036,Plan InternationalDolakhaLapilangAllShelterCGI Bundle (72ft/bundle)498249,Distribution of Shelter Material
Plan International,ECHO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Lapilang,All,NFI,NFI,Targeted group,488,488,5200,32,187,Completed,20/06/2015,08/08/2015,,11/09/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 036,Plan InternationalDolakhaLapilangAllNFINFI488488,
Plan International,DEC,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Lapilang,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,3750000,250,15000,42,137,Planned (funded),26/08/2015,26/08/2015,,11/09/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 036,"Plan InternationalDolakhaLapilangAllCashCash for Shelter (15,000 NPR)3750000250",
Plan International,ECHO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Lakuridanda,All,Shelter,CGI Bundle (72ft/bundle),Targeted group,400,200,22000,45,156,Completed,13/07/2015,13/07/2015,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 030,Plan InternationalDolakhaLakuridandaAllShelterCGI Bundle (72ft/bundle)400200,Distribution of Shelter Material
Plan International,ECHO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Lakuridanda,All,NFI,NFI,Targeted group,491,491,5200,30,402,Completed,07/07/2015,07/07/2015,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 030,Plan InternationalDolakhaLakuridandaAllNFINFI491491,
Plan International,DEC,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Lakuridanda,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,6675000,445,15000,17,169,Ongoing / In Country Stock,20/07/2015,24/08/2015,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 030,"Plan InternationalDolakhaLakuridandaAllCashCash for Shelter (15,000 NPR)6675000445",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Boch,All,Shelter,Tool Kits,Targeted group,60,300,,125,141,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 028,Plan InternationalDolakhaBochAllShelterTool Kits60300,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Boch,All,Shelter,Fixings,Targeted group,300,300,,125,141,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 028,Plan InternationalDolakhaBochAllShelterFixings300300,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Boch,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,4500000,300,15000,125,141,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 028,"Plan InternationalDolakhaBochAllCashCash for Shelter (15,000 NPR)4500000300",
Plan International,DFID,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Boch,All,Cash,Other Cash,Targeted group,13800000,600,23000,,,Planned (funded),,,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 028,Plan InternationalDolakhaBochAllCashOther Cash13800000600,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Phasku,All,Shelter,Tool Kits,Targeted group,100,500,,157,225,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 048,Plan InternationalDolakhaPhaskuAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Phasku,All,Shelter,Fixings,Targeted group,500,500,,157,225,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 048,Plan InternationalDolakhaPhaskuAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Phasku,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,15000000,1000,15000,157,225,Planned (funded),24/08/2015,24/08/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 048,"Plan InternationalDolakhaPhaskuAllCashCash for Shelter (15,000 NPR)150000001000",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Magapauwa,All,Shelter,Tool Kits,Targeted group,100,500,,94,253,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 046,Plan InternationalDolakhaMagapauwaAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Magapauwa,All,Shelter,Fixings,Targeted group,500,500,,94,253,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 046,Plan InternationalDolakhaMagapauwaAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Magapauwa,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,7500000,500,15000,94,253,Planned (funded),25/08/2015,25/08/2015,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 046,"Plan InternationalDolakhaMagapauwaAllCashCash for Shelter (15,000 NPR)7500000500",
Plan International,DFID,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Magapauwa,All,Cash,Other Cash,Targeted group,9729000,423,23000,,,Planned (funded),,,,11/09/2015,TRUE,Truck access,East,524 2 04 22,524 2 04 22 5 046,Plan InternationalDolakhaMagapauwaAllCashOther Cash9729000423,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Bhedpu,All,Shelter,Tool Kits,Targeted group,100,500,,,,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 024,Plan InternationalDolakhaBhedpuAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Bhedpu,All,Shelter,Fixings,Targeted group,500,500,,,,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 024,Plan InternationalDolakhaBhedpuAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Bhedpu,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,7500000,500,15000,,,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 024,"Plan InternationalDolakhaBhedpuAllCashCash for Shelter (15,000 NPR)7500000500",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Bhusaphedi,All,Shelter,Tool Kits,Targeted group,80,400,,65,396,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 047,Plan InternationalDolakhaBhusaphediAllShelterTool Kits80400,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Bhusaphedi,All,Shelter,Fixings,Targeted group,400,400,,65,396,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 047,Plan InternationalDolakhaBhusaphediAllShelterFixings400400,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Bhusaphedi,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,10500000,700,15000,65,396,Planned (funded),27/08/2015,27/08/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 047,"Plan InternationalDolakhaBhusaphediAllCashCash for Shelter (15,000 NPR)10500000700",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Dandakharka,All,Shelter,Tool Kits,Targeted group,100,500,,,,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 025,Plan InternationalDolakhaDandakharkaAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Dandakharka,All,Shelter,Fixings,Targeted group,500,500,,,,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 025,Plan InternationalDolakhaDandakharkaAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Dandakharka,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,7500000,500,15000,,,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,Tractor access,East,524 2 04 22,524 2 04 22 5 025,"Plan InternationalDolakhaDandakharkaAllCashCash for Shelter (15,000 NPR)7500000500",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Ghyangsukathokar,All,Shelter,Tool Kits,Targeted group,100,500,,107,216,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 026,Plan InternationalDolakhaGhyangsukathokarAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Ghyangsukathokar,All,Shelter,Fixings,Targeted group,500,500,,107,216,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 026,Plan InternationalDolakhaGhyangsukathokarAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Ghyangsukathokar,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,7500000,500,15000,107,216,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 026,"Plan InternationalDolakhaGhyangsukathokarAllCashCash for Shelter (15,000 NPR)7500000500",
Plan International,DFID,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Ghyangsukathokar,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,16330000,710,23000,107,216,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 026,"Plan InternationalDolakhaGhyangsukathokarAllCashCash for Shelter (15,000 NPR)16330000710",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Katakuti,All,Shelter,Tool Kits,Targeted group,100,500,,161,288,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 045,Plan InternationalDolakhaKatakutiAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Katakuti,All,Shelter,Fixings,Targeted group,500,500,,161,288,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 045,Plan InternationalDolakhaKatakutiAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Katakuti,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,13650000,910,15000,161,288,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 045,"Plan InternationalDolakhaKatakutiAllCashCash for Shelter (15,000 NPR)13650000910",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Pawati,All,Shelter,Tool Kits,Targeted group,100,500,,84,173,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 020,Plan InternationalDolakhaPawatiAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Pawati,All,Shelter,Fixings,Targeted group,500,500,,84,173,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 020,Plan InternationalDolakhaPawatiAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Pawati,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,7500000,500,15000,84,173,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 020,"Plan InternationalDolakhaPawatiAllCashCash for Shelter (15,000 NPR)7500000500",
Plan International,DFID,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Pawati,All,Cash,Other Cash,Targeted group,19780000,860,23000,,,Planned (funded),,,,11/09/2015,TRUE,4x4/Pickup access,East,524 2 04 22,524 2 04 22 5 020,Plan InternationalDolakhaPawatiAllCashOther Cash19780000860,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Sailungeshwar,All,Shelter,Tool Kits,Targeted group,100,500,,133,208,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 050,Plan InternationalDolakhaSailungeshwarAllShelterTool Kits100500,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Sailungeshwar,All,Shelter,Fixings,Targeted group,500,500,,133,208,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 050,Plan InternationalDolakhaSailungeshwarAllShelterFixings500500,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Sailungeshwar,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,13050000,870,15000,133,208,Planned (funded),24/08/2015,24/08/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 050,"Plan InternationalDolakhaSailungeshwarAllCashCash for Shelter (15,000 NPR)13050000870",
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Dodhapokhari,All,Shelter,Tool Kits,Targeted group,60,300,,144,300,Planned (funded),15/09/2015,30/09/2015,1 toolkit per 5 HH,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 044,Plan InternationalDolakhaDodhapokhariAllShelterTool Kits60300,
Plan International,OFDA,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Dodhapokhari,All,Shelter,Fixings,Targeted group,300,300,,144,300,Planned (funded),15/09/2015,30/09/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 044,Plan InternationalDolakhaDodhapokhariAllShelterFixings300300,
Plan International,CNO,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Dodhapokhari,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,12000000,800,15000,195,789,Planned (funded),09/01/2015,09/10/2015,,11/09/2015,TRUE,,East,524 2 04 22,524 2 04 22 5 044,"Plan InternationalDolakhaDodhapokhariAllCashCash for Shelter (15,000 NPR)12000000800",
Plan International,DFID,,Yamanta Raj Niroula,yamantaraj.niroula@plan-international.org,9801242208,Dolakha,Marbu,All,Cash,"Cash for Shelter (15,000 NPR)",Targeted group,9200000,400,23000,,,Planned (funded),,,,11/09/2015,TRUE,No road access - possibly no helicopter landing sites,East,524 2 04 22,524 2 04 22 5 023,"Plan InternationalDolakhaMarbuAllCashCash for Shelter (15,000 NPR)9200000400",
Polish Humanitarian Action,,,_ukasz Skoczylas,lukasz.skoczylas,+977 986 076 2321,Kathmandu,,,Shelter,Construction Materials (Excluding CGI and Fixings),Targeted group,,,21880,,,Completed,15/06/2015,,"approx. 100 people camp of people from Syabru Bes resettled to Kathmandu (stated price is bulk, date approximate)",30/08/2015,TRUE,,Central,524 2 05 27,,Polish Humanitarian ActionKathmanduShelterConstruction Materials (Excluding CGI and Fixings),
Polish Humanitarian Action,,,_ukasz Skoczylas,lukasz.skoczylas,+977 986 076 2321,Kathmandu,,,Shelter,Tents,Targeted group,4,4,14055,,,Completed,15/06/2015,,"approx. 100 people camp of people from Syabru Bes resettled to Kathmandu (3 small +1 big tents, date approximate)",30/08/2015,TRUE,,Central,524 2 05 27,,Polish Humanitarian ActionKathmanduShelterTents44,Distribution of Shelter Material
Polish Humanitarian Action,,,_ukasz Skoczylas,lukasz.skoczylas,+977 986 076 2321,Kathmandu,,,NFI,Fuel (Liters),Targeted group,,,15200,,,Completed,15/06/2015,,"approx. 100 people camp of people from Syabru Bes resettled to Kathmandu (gas bottles for cooking, date approximate)",30/08/2015,TRUE,,Central,524 2 05 27,,Polish Humanitarian ActionKathmanduNFIFuel (Liters),
Polish Humanitarian Action,,Pharphing daily support centre,_ukasz Skoczylas,lukasz.skoczylas,+977 986 076 2321,Kathmandu,,,NFI,Clothes (items),Targeted group,125,125,,,,Completed,07/05/2015,07/05/2015,humanitarian transport from Poland,30/08/2015,TRUE,,Central,524 2 05 27,,Polish Humanitarian ActionPharphing daily support centreKathmanduNFIClothes (items)125125,
Polish Humanitarian Action,,Social Welfare Foundation Syabru Bes,_ukasz Skoczylas,lukasz.skoczylas,+977 986 076 2321,Rasuwa,,,NFI,Clothes (items),Targeted group,98,98,,,,Completed,07/05/2015,07/05/2015,humanitarian transport from Poland,30/08/2015,TRUE,,Central,524 2 05 29,,Polish Humanitarian ActionSocial Welfare Foundation Syabru BesRasuwaNFIClothes (items)9898,
Polish Humanitarian Action,,Social Welfare Foundation Syabru Bes,_ukasz Skoczylas,lukasz.skoczylas,+977 986 076 2321,Rasuwa,,,Shelter,Tents,Targeted group,7,7,,,,Completed,07/05/2015,07/05/2015,humanitarian transport from Poland,30/08/2015,TRUE,,Central,524 2 05 29,,Polish Humanitarian ActionSocial Welfare Foundation Syabru BesRasuwaShelterTents77,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,6,NFI,Blankets,,110,55,8100,,,Completed,,23/05/2015,Nakothe,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok6NFIBlankets11055,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,14,7,8100,,,Completed,,23/05/2015,Ngarko,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets147,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,2,NFI,Blankets,,150,75,8100,,,Completed,,23/05/2015,Gayangyul,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok2NFIBlankets15075,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,3,NFI,Blankets,,160,80,8100,,,Completed,,23/05/2015,Setagyang,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok3NFIBlankets16080,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,8,NFI,Blankets,,176,88,8100,,,Completed,,23/05/2015,"Kamigaun, Komrang, Bhirkuna, Simpani",28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok8NFIBlankets17688,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,24,12,8100,,,Completed,,23/05/2015,Lamdo,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets2412,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,6,NFI,Blankets,,260,130,8100,,,Completed,,23/05/2015,Malamchigyan,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok6NFIBlankets260130,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,9,NFI,Blankets,,26,13,8100,,,Completed,,23/05/2015,Kakani,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok9NFIBlankets2613,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,300,150,8100,,,Completed,,23/05/2015,Sarkatili,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets300150,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,8,NFI,Blankets,,30,15,8100,,,Completed,,23/05/2015,Tshimi,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok8NFIBlankets3015,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,36,18,8100,,,Completed,,23/05/2015,Pargyong,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets3618,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,38,19,8100,,,Completed,,23/05/2015,Dhakpakharka,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets3819,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,40,20,8100,,,Completed,,23/05/2015,Tapargha,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets4020,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,9,NFI,Blankets,,44,22,8100,,,Completed,,23/05/2015,Kolama,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok9NFIBlankets4422,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,46,23,8100,,,Completed,,23/05/2015,Tahangsa,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets4623,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,500,250,8100,,,Completed,,23/05/2015,Millarepa Area,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets500250,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,50,25,8100,,,Completed,,23/05/2015,Haldi,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets5025,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,60,30,8100,,,Completed,,23/05/2015,Padab,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets6030,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,66,33,8100,,,Completed,,23/05/2015,Chhesgaun,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets6633,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,70,35,8100,,,Completed,,23/05/2015,Chirilaparang,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets7035,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,1,NFI,Blankets,,80,40,8100,,,Completed,,23/05/2015,Nurbughang,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok1NFIBlankets8040,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,NFI,Blankets,,90,45,8100,,,Completed,,23/05/2015,Kaja,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7NFIBlankets9045,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,6,Shelter,Tarpaulin,,110,55,8100,,,Completed,,23/05/2015,Nakothe,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok6ShelterTarpaulin11055,Distribution of Shelter Material
Polish Humanitarian Action,,ISR-NEPAL,,,,Sindhupalchok,,7,Shelter,Tarpaulin,,14,7,8100,,,Completed,,23/05/2015,Ngarko,28/05/2015,TRUE,,East,524 2 05 23,,Polish Humanitarian ActionISR-NEPALSindhupalchok7ShelterTarpaulin147,Distribution of Shelter Material
